Category,Total,TP,FN,Recall,Mean_Prob,Median_Prob,FN_Pct
Micro (M~3.0),96,6,90,0.06249999999348959,0.0027264375,0.0023825,3.617363344036908
Medium (M~4.0),2736,362,2374,0.13230994151998426,0.003349155701754386,0.0029389999999999998,95.41800643048465
Significant (M~5.0),24,0,24,0.0,0.0026337500000000002,0.0025505,0.9646302250765089
